year,drought_deaths,n_affected_drought,drought_costs,eq_deaths,n_affected_eq,eq_costs,volc_deaths,n_affected_volc,volc_costs,flood_deaths,n_affected_flood,flood_costs,mass_movement_deaths,n_affected_mass_movement,mass_movement_costs,storm_deaths,n_affected_storm,storm_costs,landslide_deaths,n_affected_landslide,landslide_costs,fog_deaths,n_affected_fog,fog_costs,wildfire_deaths,n_affected_wildfire,wildfire_costs,ext_temp_deaths,n_affected_ext_temp,ext_temp_costs,glacial_outburst_deaths,n_affected_glacial_outburst,glacial_outburst_costs
1960,0.0,0.0,0.0,75324.0,8000000.0,5620000000.0,0.0,8000.0,0.0,42308.0,668000.0,0.0,0,0,0,36656.0,2572000.0,1816123000.0,220.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0.0,0.0,0.0,400.0,0.0,0.0,0,0,0,15452.0,5209536.0,0.0,0,0,0,51451.0,32000.0,1921600000.0,540.0,0.0,0.0,0,0,0,0,0,0,1600.0,0.0,0.0,0,0,0
1962,0,0,0,48328.0,400000.0,120000000.0,0,0,0,5165.0,0.0,400000000.0,8000.0,0.0,800000000.0,7093.0,160000.0,4276000000.0,254.0,0.0,0.0,0,0,0,0,0,0,200.0,0.0,0.0,0,0,0
1963,0,53600.0,0,4470.0,0.0,3020000000.0,6820.0,332000.0,0,4124.0,321600.0,0,600.0,0,0,119850.0,24000000.0,3476360000.0,10049.0,0,0,0,0,0,0,0,0,660.0,0,0,0,0,0
1964,200.0,10384000.0,0,1340.0,363000.0,4476000000.0,16.0,8000.0,0,4492.0,8692148.0,3510200000.0,0,0,0,42606.0,10993820.0,1596600000.0,432.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,6008000.0,407864000.0,508472000.0,2850.0,800328.0,800000000.0,1420.0,200000.0,40000000.0,5656.0,17563252.0,1741400000.0,0,0,0,239765.0,42404800.0,6677600000.0,931.0,0,0,0,0,0,0,0,4000000.0,400.0,0,0,0,0,0
1966,32000.0,1440000.0,0.0,11148.0,1216400.0,1142400000.0,4352.0,180000.0,0.0,7762.0,13190096.0,10826328000.0,0,0,0,9283.0,9113056.0,1154488000.0,2416.0,16000000.0,108000.0,0,0,0,125.0,0.0,0.0,1048.0,0.0,0.0,0,0,0
1967,2400.0,11513932.0,2400800000.0,3583.0,1686687.0,601000000.0,0,0,0,10246.0,8988244.0,1298578000.0,0,0,0,9010.0,2361296.0,1824800000.0,2360.0,2000.0,0,0,0,0,248.0,12000.0,274000000.0,0,0,0,0,0,0
1968,0,4456868.0,256000000.0,46526.0,735896.0,2095876000.0,360.0,229564.0,40000000.0,29296.0,95336768.0,1668724000.0,0,0,0,6674.0,1434404.0,214952000.0,4784.0,2888.0,0,0,0,0,48.0,4000.0,4000000.0,612.0,0,0,0,0,0
1969,0,30886416.0,830800000.0,13507.0,808000.0,267280000.0,0,1006800.0,800000.0,6176.0,7198852.0,2205680000.0,0,0,0,13034.0,2668064.0,6273536000.0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
