Country,Total Deaths,Total Affected,Total Damage Adjusted,Number of Disasters
Afghanistan,24717.0,35052871.0,1304551.0,212.0
Albania,642.0,4384706.0,1097402.0,39.0
Algeria,7392.0,2373307.0,29052253.0,87.0
American Samoa,130.0,25563.0,323757.0,6.0
Angola,6037.0,8978353.0,19383.0,75.0
Anguilla,9.0,16400.0,585210.0,4.0
Antigua and Barbuda,11.0,127314.0,1355968.0,12.0
Argentina,1286.0,15215074.0,28698803.0,123.0
Armenia,5.0,438330.0,323024.0,12.0
Australia,2109.0,16548195.0,124547036.0,217.0
Austria,987.0,72259.0,10297921.0,53.0
Azerbaijan,68.0,2575271.0,359920.0,15.0
Azores Islands,108.0,24115.0,299883.0,5.0
Bahamas,414.0,56053.0,9216513.0,24.0
Bahrain,111.0,0,0,1
Bangladesh,633926.0,472980148.0,44828378.0,343.0
Barbados,5.0,14407.0,274730.0,13.0
Belarus,74.0,210011.0,336059.0,15.0
Belgium,5469.0,109633.0,6351082.0,63.0
Belize,344.0,568675.0,1667989.0,21.0
Benin,1618.0,5553650.0,22812.0,54.0
Bermuda,4.0,40.0,615490.0,5.0
Bhutan,314.0,87871.0,6149.0,12.0
Bolivia (Plurinational State of),2400.0,9982037.0,8043434.0,109.0
Bosnia and Herzegovina,50.0,1693986.0,1173712.0,31.0
Botswana,698.0,1598781.0,86667.0,23.0
Brazil,13183.0,117483449.0,61850299.0,268.0
British Virgin Islands,9.0,3.0,3585511.0,3.0
Brunei Darussalam,0,0,3591.0,1
Bulgaria,1483.0,82500.0,1931842.0,51.0
Burkina Faso,17304.0,19801995.0,243131.0,64.0
Burundi,1232.0,4743375.0,18524.0,63.0
Cabo Verde,296.0,230262.0,10456.0,18.0
Cambodia,2554.0,24345689.0,2399044.0,48.0
Cameroon,6433.0,3638041.0,31442.0,59.0
Canada,1288.0,605058.0,70296104.0,134.0
Canary Islands,56.0,8136.0,2501131.0,7.0
Cayman Islands,2.0,300.0,5423903.0,7.0
Central African Republic,1022.0,2653272.0,402.0,47.0
Chad,10556.0,14810264.0,676952.0,64.0
Chile,9168.0,12477881.0,62899053.0,110.0
China,462598.0,3275489860.0,919350408.0,935.0
"China, Hong Kong Special Administrative Region",1426.0,146977.0,2138058.0,101.0
"China, Macao Special Administrative Region",10.0,4187.0,1695376.0,7.0
Colombia,32285.0,19053626.0,13590372.0,219.0
Comoros,161.0,864573.0,124645.0,23.0
Congo,4768.0,975098.0,106.0,37.0
Cook Islands,32.0,9024.0,64391.0,11.0
Costa Rica,509.0,2576061.0,2577526.0,72.0
Croatia,1600.0,255944.0,16020861.0,34.0
Cuba,2048.0,27415879.0,26617894.0,84.0
Cyprus,171.0,5935.0,75803.0,15.0
Czechia,877.0,1626170.0,10358937.0,34.0
Czechoslovakia,24.0,600.0,41210.0,9.0
Côte d’Ivoire,962.0,105051.0,0,31.0
Democratic People's Republic of Korea,3017.0,50960163.0,43957695.0,47.0
Democratic Republic of the Congo,21285.0,29785039.0,44504.0,149.0
Denmark,279.0,3.0,9463901.0,18.0
Djibouti,344.0,2459298.0,18853.0,27.0
Dominica,140.0,196383.0,2994977.0,14.0
Dominican Republic,3793.0,9414116.0,6241980.0,87.0
Ecuador,8855.0,5622137.0,10491911.0,112.0
Egypt,1792.0,403800.0,3079220.0,32.0
El Salvador,4626.0,5093127.0,12917018.0,71.0
Equatorial Guinea,25.0,962.0,0,2.0
Eritrea,3.0,5622688.0,10464.0,8.0
Estonia,178.0,100.0,194812.0,5.0
Eswatini,709.0,3275320.0,156534.0,19.0
Ethiopia,416908.0,113351793.0,2945216.0,126.0
Fiji,426.0,2550635.0,2324325.0,58.0
Finland,225.0,400.0,22398.0,4.0
France,33420.0,4228980.0,84339054.0,191.0
French Guiana,10.0,70144.0,0,3.0
French Polynesia,31.0,13976.0,125868.0,7.0
Gabon,117.0,113883.0,0,14.0
Gambia,442.0,1506535.0,5653.0,33.0
Georgia,94.0,1256302.0,1118915.0,29.0
German Democratic Republic,0,0,0,3.0
Germany,18092.0,578301.0,132027558.0,88.0
Germany Federal Republic,501.0,3997.0,21093471.0,15.0
Ghana,1832.0,17626851.0,704941.0,56.0
Greece,5090.0,1164177.0,26522881.0,97.0
Grenada,45.0,61285.0,1431456.0,8.0
Guadeloupe,54.0,220241.0,1824137.0,16.0
Guam,20.0,27979.0,4482621.0,11.0
Guatemala,28509.0,23897854.0,11116479.0,121.0
Guinea,4137.0,688102.0,23506.0,40.0
Guinea-Bissau,3044.0,314388.0,0,23.0
Guyana,34.0,1313248.0,1016366.0,13.0
Haiti,248560.0,20111620.0,19591175.0,130.0
Honduras,27313.0,13903125.0,11786163.0,95.0
Hungary,1724.0,406763.0,4296932.0,35.0
Iceland,51.0,5768.0,245498.0,13.0
India,1727164.0,2479427887.0,222705547.0,719.0
Indonesia,216826.0,58744869.0,54305152.0,589.0
Iran (Islamic Republic of),135069.0,60832315.0,57618082.0,228.0
Iraq,227.0,8111089.0,215146.0,28.0
Ireland,74.0,6275.0,1102396.0,26.0
Isle of Man,0,0,0,1
Israel,124.0,2085182.0,3095193.0,19.0
Italy,48154.0,3763442.0,230556049.0,166.0
Jamaica,288.0,2685222.0,5542571.0,39.0
Japan,35471.0,13920180.0,860176980.0,313.0
Jordan,380.0,355337.0,858004.0,17.0
Kazakhstan,251.0,906358.0,410626.0,26.0
Kenya,7625.0,72419376.0,1111414.0,124.0
Kiribati,20.0,86857.0,0,6.0
