DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1960-0002-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Lar, Gerash",,,No,No,No,,6,Richter,28,54.5,,1960,4,24,1960,4,24,480,,,,,,,,,20000,197907,10.10576299,,2007-11-08,2023-09-25
1960-0007-PER,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PER,Peru,Latin America and the Caribbean,Americas,"Arequipa, Chuquibamban Caravelli, Cotahuasi",,Tsunami/Tidal wave,No,No,No,,7.8,Richter,-15.75,-72.75,,1960,1,13,1960,1,13,63,200,,,200,,,,,,,10.10576299,,2004-04-13,2023-09-25
1960-0010-MAR,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,MAR,Morocco,Northern Africa,Africa,Agadir,,Tsunami/Tidal wave,No,No,No,,5.9,Richter,30.45,-9.62,,1960,2,29,1960,2,29,12000,25000,,,25000,,,,,120000,1187441,10.10576299,,2004-04-13,2023-09-25
1960-0011-PNG,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Manam,PNG,Papua New Guinea,Melanesia,Oceania,Manam,,,No,No,No,,,,-4.08,145.037,,1960,3,17,1960,3,17,,,2000,,2000,,,,,,,10.10576299,,2003-07-01,2023-09-25
1960-0013-CHL,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,CHL,Chile,Latin America and the Caribbean,Americas,"Puerto Montt, Valdivia (Arauco peninsula)",,Tsunami/Tidal wave|Volcanic activity,No,No,No,,9.5,Richter,-38.143,-73.407,,1960,5,22,1960,5,22,6000,3000,2000000,,2003000,,,,,550000,5442439,10.10576299,,2007-11-08,2023-09-25
1960-0033-DZA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,DZA,Algeria,Northern Africa,Africa,"Melouza, Beni Illmane",,,No,No,No,,5.6,Richter,36,4.1,,1960,2,21,1960,2,21,57,,,1250,1250,,,,,,,10.10576299,,2004-04-06,2023-09-25
1961-0016-ETH,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Wollo, Karakore",,,No,No,No,,6.5,Richter,10.4,39.9,,1961,6,2,1961,6,2,30,,,,,,,,,,,10.21396373,,2003-07-01,2023-09-25
1961-0060-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Dehkuyeh, Khaneh, Lar, Shagheb, Nokhriz",,,No,No,No,,6.4,Richter,27.861,54.528,,1961,6,11,1961,6,11,60,,,,,,,,,,,10.21396373,,2020-02-14,2023-09-25
1961-0061-JPN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,JPN,Japan,Eastern Asia,Asia,Honshu,,,No,No,No,,6.8,Richter,36,136.7,,1961,8,19,1961,8,19,10,,,,,,,,,,,10.21396373,,2020-02-14,2023-09-25
1962-0006-IRN,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Buyin-Zara, Qazvin",,,No,No,No,,7.3,Richter,35.656,49.843,,1962,9,1,1962,9,1,12000,3000,100000,,103000,,,,,30000,290236,10.33641036,,2005-11-17,2023-09-25
